Step,BulletID,Team,X,Y,Heading
18,1,0,200.8,677.6,210.0
18,2,0,599.2,122.4,30.0
18,3,0,540.8,711.3,150.0
19,1,0,193.3,690.6,210.0
19,2,0,606.7,109.4,30.0
19,3,0,548.3,724.3,150.0
20,1,0,185.8,703.6,210.0
20,2,0,614.2,96.4,30.0
20,3,0,555.8,737.3,150.0
20,4,1,669.2,417.3,210.0
20,5,1,234.7,83.0,100.0
21,1,0,178.3,716.6,210.0
21,2,0,621.7,83.4,30.0
21,3,0,563.3,750.3,150.0
21,4,1,661.7,430.3,210.0
21,5,1,249.4,85.6,100.0
22,1,0,170.8,729.6,210.0
22,2,0,629.2,70.4,30.0
22,3,0,570.8,763.3,150.0
22,4,1,654.2,443.3,210.0
22,5,1,264.2,88.2,100.0
23,1,0,163.3,742.6,210.0
23,2,0,636.7,57.4,30.0
23,3,0,578.3,776.2,150.0
23,4,1,646.7,456.3,210.0
23,5,1,279.0,90.8,100.0
24,1,0,155.8,755.5,210.0
24,2,0,644.2,44.5,30.0
24,3,0,585.8,789.2,150.0
24,4,1,639.2,469.3,210.0
24,5,1,293.8,93.4,100.0
25,1,0,148.3,768.5,210.0
25,2,0,651.7,31.5,30.0
25,4,1,631.7,482.3,210.0
25,5,1,308.5,96.0,100.0
26,1,0,140.8,781.5,210.0
26,2,0,659.2,18.5,30.0
26,4,1,624.2,495.3,210.0
26,5,1,323.3,98.6,100.0
27,1,0,133.3,794.5,210.0
27,2,0,666.7,5.5,30.0
27,4,1,616.7,508.3,210.0
27,5,1,338.1,101.2,100.0
28,4,1,609.2,521.2,210.0
28,5,1,352.9,103.8,100.0
29,4,1,601.7,534.2,210.0
29,5,1,367.6,106.5,100.0
30,4,1,594.2,547.2,210.0
30,5,1,382.4,109.1,100.0
31,4,1,586.7,560.2,210.0
31,5,1,397.2,111.7,100.0
32,4,1,579.2,573.2,210.0
32,5,1,411.9,114.3,100.0
32,6,1,212.5,412.9,130.0
33,4,1,571.7,586.2,210.0
33,5,1,426.7,116.9,100.0
33,6,1,224.0,422.5,130.0
34,4,1,564.2,599.2,210.0
34,5,1,441.5,119.5,100.0
34,6,1,235.5,432.1,130.0
34,7,0,128.1,602.7,182.0
34,8,0,671.9,197.3,2.0
34,9,0,439.6,736.8,122.0
35,4,1,556.7,612.2,210.0
35,5,1,456.3,122.1,100.0
35,6,1,246.9,441.8,130.0
35,7,0,127.6,617.7,182.0
35,8,0,672.4,182.3,2.0
35,9,0,452.3,744.8,122.0
36,4,1,549.2,625.2,210.0
36,5,1,471.0,124.7,100.0
36,6,1,258.4,451.4,130.0
36,7,0,127.1,632.7,182.0
36,8,0,672.9,167.3,2.0
36,9,0,465.1,752.7,122.0
36,10,1,585.6,411.9,233.4
36,11,1,244.8,133.7,153.5
37,4,1,541.7,638.2,210.0
37,5,1,485.8,127.3,100.0
37,6,1,269.9,461.1,130.0
37,7,0,126.5,647.7,182.0
37,8,0,673.5,152.3,2.0
37,9,0,477.8,760.7,122.0
37,10,1,573.6,420.9,233.4
37,11,1,251.5,147.1,153.5
38,4,1,534.2,651.1,210.0
38,5,1,500.6,129.9,100.0
38,6,1,281.4,470.7,130.0
38,7,0,126.0,662.7,182.0
38,8,0,674.0,137.3,2.0
38,9,0,490.5,768.6,122.0
38,10,1,561.5,429.8,233.4
38,11,1,258.2,160.5,153.5
39,4,1,526.7,664.1,210.0
39,5,1,515.3,132.5,100.0
39,6,1,292.9,480.3,130.0
39,7,0,125.5,677.7,182.0
39,8,0,674.5,122.3,2.0
39,9,0,503.2,776.6,122.0
39,10,1,549.5,438.8,233.4
39,11,1,264.9,173.9,153.5
40,4,1,519.2,677.1,210.0
40,5,1,530.1,135.1,100.0
40,6,1,304.4,490.0,130.0
40,7,0,125.0,692.7,182.0
40,8,0,675.0,107.3,2.0
40,9,0,515.9,784.5,122.0
40,10,1,537.5,447.7,233.4
40,11,1,271.5,187.4,153.5
41,4,1,511.7,690.1,210.0
41,5,1,544.9,137.7,100.0
41,6,1,315.9,499.6,130.0
41,7,0,124.4,707.7,182.0
41,8,0,675.6,92.3,2.0
41,9,0,528.7,792.5,122.0
41,10,1,525.4,456.7,233.4
41,11,1,278.2,200.8,153.5
42,4,1,504.2,703.1,210.0
42,5,1,559.7,140.3,100.0
42,6,1,327.4,509.3,130.0
42,7,0,123.9,722.7,182.0
42,8,0,676.1,77.3,2.0
42,10,1,513.4,465.6,233.4
42,11,1,284.9,214.2,153.5
43,4,1,496.7,716.1,210.0
43,5,1,574.4,142.9,100.0
43,6,1,338.9,518.9,130.0
43,7,0,123.4,737.7,182.0
43,8,0,676.6,62.3,2.0
43,10,1,501.3,474.6,233.4
43,11,1,291.6,227.7,153.5
44,4,1,489.2,729.1,210.0
44,5,1,589.2,145.5,100.0
44,6,1,350.4,528.6,130.0
44,7,0,122.9,752.6,182.0
44,8,0,677.1,47.4,2.0
44,10,1,489.3,483.5,233.4
44,11,1,298.3,241.1,153.5
45,4,1,481.7,742.1,210.0
45,5,1,604.0,148.1,100.0
45,6,1,361.9,538.2,130.0
45,7,0,122.3,767.6,182.0
45,8,0,677.7,32.4,2.0
45,10,1,477.3,492.5,233.4
45,11,1,305.0,254.5,153.5
46,4,1,474.2,755.1,210.0
46,5,1,618.8,150.7,100.0
46,6,1,373.3,547.8,130.0
46,7,0,121.8,782.6,182.0
46,8,0,678.2,17.4,2.0
46,10,1,465.2,501.4,233.4
46,11,1,311.6,267.9,153.5
47,4,1,466.7,768.1,210.0
47,5,1,633.5,153.3,100.0
47,6,1,384.8,557.5,130.0
47,7,0,121.3,797.6,182.0
47,8,0,678.7,2.4,2.0
47,10,1,453.2,510.4,233.4
47,11,1,318.3,281.4,153.5
48,4,1,459.2,781.1,210.0
48,5,1,648.3,155.9,100.0
48,6,1,396.3,567.1,130.0
48,10,1,441.2,519.3,233.4
48,11,1,325.0,294.8,153.5
49,4,1,451.7,794.0,210.0
49,5,1,663.1,158.5,100.0
49,6,1,407.8,576.8,130.0
49,10,1,429.1,528.3,233.4
49,11,1,331.7,308.2,153.5
50,5,1,677.8,161.2,100.0
50,6,1,419.3,586.4,130.0
50,10,1,417.1,537.2,233.4
50,11,1,338.4,321.7,153.5
50,12,0,99.6,493.2,158.0
50,13,0,700.4,306.8,338.0
50,14,0,330.5,706.8,98.0
51,5,1,692.6,163.8,100.0
51,6,1,430.8,596.1,130.0
51,10,1,405.0,546.2,233.4
51,11,1,345.1,335.1,153.5
51,12,0,105.2,507.1,158.0
51,13,0,694.8,292.9,338.0
51,14,0,345.3,708.8,98.0
52,5,1,707.4,166.4,100.0
52,6,1,442.3,605.7,130.0
52,10,1,393.0,555.1,233.4
52,11,1,351.7,348.5,153.5
52,12,0,110.8,521.0,158.0
52,13,0,689.2,279.0,338.0
52,14,0,360.2,710.9,98.0
52,15,1,497.9,415.7,244.1
53,5,1,722.2,169.0,100.0
53,6,1,453.8,615.3,130.0
53,10,1,381.0,564.1,233.4
53,11,1,358.4,361.9,153.5
53,12,0,116.4,534.9,158.0
53,13,0,683.6,265.1,338.0
53,14,0,375.1,713.0,98.0
53,15,1,484.4,422.3,244.1
53,16,1,280.1,224.7,203.9
54,5,1,736.9,171.6,100.0
54,6,1,465.3,625.0,130.0
54,10,1,368.9,573.0,233.4
54,11,1,365.1,375.4,153.5
54,12,0,122.1,548.8,158.0
54,13,0,677.9,251.2,338.0
54,14,0,389.9,715.1,98.0
54,15,1,470.9,428.8,244.1
54,16,1,274.1,238.4,203.9
55,5,1,751.7,174.2,100.0
55,6,1,476.8,634.6,130.0
55,10,1,356.9,582.0,233.4
55,11,1,371.8,388.8,153.5
55,12,0,127.7,562.7,158.0
55,13,0,672.3,237.3,338.0
55,14,0,404.8,717.2,98.0
55,15,1,457.4,435.3,244.1
55,16,1,268.0,252.1,203.9
55,17,1,326.3,415.9,217.3
56,5,1,766.5,176.8,100.0
56,6,1,488.2,644.3,130.0
56,10,1,344.9,590.9,233.4
56,11,1,378.5,402.2,153.5
56,12,0,133.3,576.6,158.0
56,13,0,666.7,223.4,338.0
56,14,0,419.6,719.3,98.0
56,15,1,443.9,441.9,244.1
56,16,1,261.9,265.8,203.9
56,17,1,317.2,427.8,217.3
57,5,1,781.2,179.4,100.0
57,6,1,499.7,653.9,130.0
57,10,1,332.8,599.9,233.4
57,11,1,385.2,415.7,153.5
57,12,0,138.9,590.5,158.0
57,13,0,661.1,209.5,338.0
57,14,0,434.5,721.4,98.0
57,15,1,430.4,448.4,244.1
57,16,1,255.8,279.6,203.9
57,17,1,308.1,439.8,217.3
58,5,1,796.0,182.0,100.0
58,6,1,511.2,663.5,130.0
58,10,1,320.8,608.8,233.4
58,11,1,391.8,429.1,153.5
58,12,0,144.5,604.4,158.0
58,13,0,655.5,195.6,338.0
58,14,0,449.3,723.5,98.0
58,15,1,416.9,455.0,244.1
58,16,1,249.8,293.3,203.9
58,17,1,299.1,451.7,217.3
59,6,1,522.7,673.2,130.0
59,10,1,308.7,617.8,233.4
59,11,1,398.5,442.5,153.5
59,12,0,150.2,618.4,158.0
59,13,0,649.8,181.6,338.0
59,14,0,464.2,725.5,98.0
59,15,1,403.4,461.5,244.1
59,16,1,243.7,307.0,203.9
59,17,1,290.0,463.7,217.3
60,6,1,534.2,682.8,130.0
60,10,1,296.7,626.7,233.4
60,11,1,405.2,455.9,153.5
60,12,0,155.8,632.3,158.0
60,13,0,644.2,167.7,338.0
60,14,0,479.0,727.6,98.0
60,15,1,389.9,468.0,244.1
60,16,1,237.6,320.7,203.9
60,17,1,280.9,475.6,217.3
61,6,1,545.7,692.5,130.0
61,10,1,284.7,635.7,233.4
61,11,1,411.9,469.4,153.5
61,12,0,161.4,646.2,158.0
61,13,0,638.6,153.8,338.0
61,14,0,493.9,729.7,98.0
61,15,1,376.4,474.6,244.1
61,16,1,231.5,334.4,203.9
61,17,1,271.8,487.5,217.3
62,6,1,557.2,702.1,130.0
62,10,1,272.6,644.6,233.4
62,11,1,418.6,482.8,153.5
62,12,0,167.0,660.1,158.0
62,13,0,633.0,139.9,338.0
62,14,0,508.7,731.8,98.0
62,15,1,362.9,481.1,244.1
62,16,1,225.5,348.1,203.9
62,17,1,262.7,499.5,217.3
63,6,1,568.7,711.8,130.0
63,11,1,425.3,496.2,153.5
63,12,0,172.6,674.0,158.0
63,13,0,627.4,126.0,338.0
63,14,0,523.6,733.9,98.0
63,15,1,349.4,487.7,244.1
63,16,1,219.4,361.9,203.9
63,17,1,253.6,511.4,217.3
64,6,1,580.2,721.4,130.0
64,11,1,432.0,509.7,153.5
64,12,0,178.3,687.9,158.0
64,13,0,621.7,112.1,338.0
64,14,0,538.4,736.0,98.0
64,15,1,335.9,494.2,244.1
64,16,1,213.3,375.6,203.9
64,17,1,244.5,523.3,217.3
65,6,1,591.7,731.0,130.0
65,11,1,438.6,523.1,153.5
65,12,0,183.9,701.8,158.0
65,13,0,616.1,98.2,338.0
65,14,0,553.3,738.1,98.0
65,15,1,322.4,500.8,244.1
65,16,1,207.3,389.3,203.9
65,17,1,235.5,535.3,217.3
66,6,1,603.2,740.7,130.0
66,11,1,445.3,536.5,153.5
66,12,0,189.5,715.7,158.0
66,13,0,610.5,84.3,338.0
66,14,0,568.2,740.2,98.0
66,15,1,308.9,507.3,244.1
66,16,1,201.2,403.0,203.9
66,17,1,226.4,547.2,217.3
66,18,0,127.4,377.0,134.0
66,19,0,672.6,423.0,314.0
66,20,0,243.8,624.6,74.0
67,6,1,614.6,750.3,130.0
67,11,1,452.0,549.9,153.5
67,12,0,195.1,729.6,158.0
67,13,0,604.9,70.4,338.0
67,14,0,583.0,742.2,98.0
67,15,1,295.4,513.8,244.1
67,16,1,195.1,416.7,203.9
67,17,1,217.3,559.1,217.3
67,18,0,138.2,387.4,134.0
67,19,0,661.8,412.6,314.0
67,20,0,258.2,620.4,74.0
68,6,1,626.1,760.0,130.0
68,11,1,458.7,563.4,153.5
68,12,0,200.7,743.5,158.0
68,13,0,599.3,56.5,338.0
68,14,0,597.9,744.3,98.0
68,15,1,281.9,520.4,244.1
68,16,1,189.0,430.4,203.9
68,17,1,208.2,571.1,217.3
68,18,0,149.0,397.9,134.0
68,19,0,651.0,402.1,314.0
68,20,0,272.7,616.3,74.0
69,6,1,637.6,769.6,130.0
69,11,1,465.4,576.8,153.5
69,12,0,206.3,757.4,158.0
69,13,0,593.7,42.6,338.0
69,14,0,612.7,746.4,98.0
69,15,1,268.4,526.9,244.1
69,16,1,183.0,444.1,203.9
69,17,1,199.1,583.0,217.3
69,18,0,159.8,408.3,134.0
69,19,0,640.2,391.7,314.0
69,20,0,287.1,612.2,74.0
69,21,1,390.4,422.9,257.2
69,22,1,321.7,323.0,226.0
70,6,1,649.1,779.2,130.0
70,11,1,472.1,590.2,153.5
70,12,0,212.0,771.3,158.0
70,13,0,588.0,28.7,338.0
70,14,0,627.6,748.5,98.0
70,15,1,254.9,533.5,244.1
70,16,1,176.9,457.9,203.9
70,18,0,170.6,418.7,134.0
70,19,0,629.4,381.3,314.0
70,20,0,301.5,608.0,74.0
70,21,1,375.8,426.2,257.2
70,22,1,310.9,333.4,226.0
71,6,1,660.6,788.9,130.0
71,11,1,478.7,603.7,153.5
71,12,0,217.6,785.2,158.0
71,13,0,582.4,14.8,338.0
71,14,0,642.4,750.6,98.0
71,15,1,241.4,540.0,244.1
71,16,1,170.8,471.6,203.9
71,18,0,181.4,429.1,134.0
71,19,0,618.6,370.9,314.0
71,20,0,315.9,603.9,74.0
71,21,1,361.1,429.5,257.2
71,22,1,300.1,343.8,226.0
72,6,1,672.1,798.5,130.0
72,11,1,485.4,617.1,153.5
72,12,0,223.2,799.2,158.0
72,13,0,576.8,0.8,338.0
72,14,0,657.3,752.7,98.0
72,15,1,227.9,546.6,244.1
72,16,1,164.7,485.3,203.9
72,18,0,192.2,439.5,134.0
72,19,0,607.8,360.5,314.0
72,20,0,330.3,599.8,74.0
72,21,1,346.5,432.9,257.2
72,22,1,289.3,354.2,226.0
73,11,1,492.1,630.5,153.5
73,14,0,672.1,754.8,98.0
73,15,1,214.4,553.1,244.1
73,16,1,158.7,499.0,203.9
73,18,0,203.0,450.0,134.0
73,19,0,597.0,350.0,314.0
73,20,0,344.8,595.6,74.0
73,21,1,331.9,436.2,257.2
73,22,1,278.5,364.6,226.0
74,11,1,498.8,643.9,153.5
74,14,0,687.0,756.9,98.0
74,16,1,152.6,512.7,203.9
74,18,0,213.8,460.4,134.0
74,19,0,586.2,339.6,314.0
74,20,0,359.2,591.5,74.0
74,21,1,317.3,439.5,257.2
74,22,1,267.7,375.1,226.0
75,11,1,505.5,657.4,153.5
75,14,0,701.8,758.9,98.0
75,16,1,146.5,526.4,203.9
75,18,0,224.5,470.8,134.0
75,19,0,575.5,329.2,314.0
75,20,0,373.6,587.4,74.0
75,21,1,302.6,442.9,257.2
75,22,1,256.9,385.5,226.0
76,11,1,512.2,670.8,153.5
76,14,0,716.7,761.0,98.0
76,16,1,140.4,540.2,203.9
76,18,0,235.3,481.2,134.0
76,19,0,564.7,318.8,314.0
76,20,0,388.0,583.2,74.0
76,21,1,288.0,446.2,257.2
76,22,1,246.1,395.9,226.0
77,11,1,518.8,684.2,153.5
77,14,0,731.5,763.1,98.0
77,16,1,134.4,553.9,203.9
77,18,0,246.1,491.6,134.0
77,19,0,553.9,308.4,314.0
77,20,0,402.4,579.1,74.0
77,21,1,273.4,449.5,257.2
77,22,1,235.3,406.3,226.0
78,11,1,525.5,697.7,153.5
78,14,0,746.4,765.2,98.0
78,16,1,128.3,567.6,203.9
78,18,0,256.9,502.1,134.0
78,19,0,543.1,297.9,314.0
78,20,0,416.8,574.9,74.0
78,21,1,258.8,452.9,257.2
78,22,1,224.5,416.7,226.0
79,11,1,532.2,711.1,153.5
79,14,0,761.3,767.3,98.0
79,16,1,122.2,581.3,203.9
79,18,0,267.7,512.5,134.0
79,19,0,532.3,287.5,314.0
79,20,0,431.3,570.8,74.0
79,21,1,244.1,456.2,257.2
79,22,1,213.7,427.1,226.0
80,11,1,538.9,724.5,153.5
80,14,0,776.1,769.4,98.0
80,16,1,116.1,595.0,203.9
80,18,0,278.5,522.9,134.0
80,19,0,521.5,277.1,314.0
80,20,0,445.7,566.7,74.0
80,21,1,229.5,459.5,257.2
80,22,1,202.9,437.5,226.0
81,11,1,545.6,737.9,153.5
81,14,0,791.0,771.5,98.0
81,16,1,110.1,608.7,203.9
81,18,0,289.3,533.3,134.0
81,19,0,510.7,266.7,314.0
81,20,0,460.1,562.5,74.0
81,21,1,214.9,462.9,257.2
81,22,1,192.1,447.9,226.0
81,23,1,482.7,405.8,274.5
82,11,1,552.3,751.4,153.5
82,16,1,104.0,622.4,203.9
82,18,0,300.1,543.7,134.0
82,19,0,499.9,256.3,314.0
82,20,0,474.5,558.4,74.0
82,21,1,200.3,466.2,257.2
82,22,1,181.3,458.4,226.0
82,23,1,467.8,404.7,274.5
82,24,0,205.0,280.9,106.0
82,25,0,595.0,519.1,286.0
82,26,0,199.4,509.3,46.0
83,11,1,558.9,764.8,153.5
83,16,1,97.9,636.2,203.9
83,18,0,310.9,554.2,134.0
83,19,0,489.1,245.8,314.0
83,20,0,488.9,554.3,74.0
83,21,1,185.6,469.5,257.2
83,22,1,170.5,468.8,226.0
83,23,1,452.8,403.5,274.5
83,24,0,219.5,285.0,106.0
83,25,0,580.5,515.0,286.0
83,26,0,210.2,498.9,46.0
84,11,1,565.6,778.2,153.5
84,16,1,91.8,649.9,203.9
84,18,0,321.7,564.6,134.0
84,19,0,478.3,235.4,314.0
84,20,0,503.4,550.1,74.0
84,21,1,171.0,472.9,257.2
84,22,1,159.7,479.2,226.0
84,23,1,437.9,402.3,274.5
84,24,0,233.9,289.2,106.0
84,25,0,566.1,510.8,286.0
84,26,0,221.0,488.4,46.0
85,11,1,572.3,791.7,153.5
85,16,1,85.8,663.6,203.9
85,18,0,332.4,575.0,134.0
85,19,0,467.6,225.0,314.0
85,20,0,517.8,546.0,74.0
85,21,1,156.4,476.2,257.2
85,22,1,148.9,489.6,226.0
85,23,1,422.9,401.1,274.5
85,24,0,248.3,293.3,106.0
85,25,0,551.7,506.7,286.0
85,26,0,231.7,478.0,46.0
85,27,1,281.5,429.8,263.3
86,16,1,79.7,677.3,203.9
86,18,0,343.2,585.4,134.0
86,19,0,456.8,214.6,314.0
86,20,0,532.2,541.9,74.0
86,21,1,141.8,479.5,257.2
86,22,1,138.1,500.0,226.0
86,23,1,408.0,400.0,274.5
86,24,0,262.7,297.4,106.0
86,25,0,537.3,502.6,286.0
86,26,0,242.5,467.6,46.0
86,27,1,266.6,431.5,263.3
87,16,1,73.6,691.0,203.9
87,18,0,354.0,595.8,134.0
87,19,0,446.0,204.2,314.0
87,20,0,546.6,537.7,74.0
87,21,1,127.1,482.9,257.2
87,22,1,127.3,510.4,226.0
87,23,1,393.0,398.8,274.5
87,24,0,277.1,301.6,106.0
87,25,0,522.9,498.4,286.0
87,26,0,253.3,457.2,46.0
87,27,1,251.7,433.3,263.3
88,16,1,67.6,704.7,203.9
88,18,0,364.8,606.3,134.0
88,19,0,435.2,193.7,314.0
88,21,1,112.5,486.2,257.2
88,22,1,116.5,520.8,226.0
88,23,1,378.1,397.6,274.5
88,24,0,291.6,305.7,106.0
88,25,0,508.4,494.3,286.0
88,26,0,264.1,446.8,46.0
88,27,1,236.8,435.0,263.3
89,16,1,61.5,718.5,203.9
89,18,0,375.6,616.7,134.0
89,19,0,424.4,183.3,314.0
89,21,1,97.9,489.5,257.2
89,22,1,105.7,531.3,226.0
89,23,1,363.1,396.5,274.5
89,24,0,306.0,309.8,106.0
89,25,0,494.0,490.2,286.0
89,27,1,221.9,436.8,263.3
90,16,1,55.4,732.2,203.9
90,18,0,386.4,627.1,134.0
90,19,0,413.6,172.9,314.0
90,21,1,83.3,492.9,257.2
90,22,1,94.9,541.7,226.0
90,23,1,348.2,395.3,274.5
90,24,0,320.4,314.0,106.0
90,25,0,479.6,486.0,286.0
90,27,1,207.1,438.5,263.3
91,16,1,49.3,745.9,203.9
91,18,0,397.2,637.5,134.0
91,19,0,402.8,162.5,314.0
91,21,1,68.6,496.2,257.2
91,22,1,84.2,552.1,226.0
91,23,1,333.2,394.1,274.5
91,24,0,334.8,318.1,106.0
91,25,0,465.2,481.9,286.0
92,16,1,43.3,759.6,203.9
92,18,0,408.0,647.9,134.0
92,19,0,392.0,152.1,314.0
92,21,1,54.0,499.5,257.2
92,22,1,73.4,562.5,226.0
