Step,TankID,Team,X,Y,Heading,TurretHeading,Velocity,HP,GunEnergy
1,0,0,240.0,677.1,220.0,210.0,0.0,10,1
1,1,0,560.0,122.9,40.0,30.0,0.0,10,1
1,2,0,560.0,677.1,160.0,150.0,0.0,10,1
1,3,1,720.0,400.0,90.0,100.0,0.0,10,1
1,4,1,80.0,400.0,270.0,280.0,0.0,10,1
1,5,1,240.0,122.9,330.0,340.0,0.0,10,1
2,0,0,240.0,677.1,230.0,210.0,0.0,10,2
2,1,0,560.0,122.9,50.0,30.0,0.0,10,2
2,2,0,560.0,677.1,170.0,150.0,0.0,10,2
2,3,1,720.0,400.0,90.0,110.0,0.0,10,2
2,4,1,80.0,400.0,270.0,290.0,0.0,10,2
2,5,1,240.0,122.9,330.0,350.0,0.0,10,2
3,0,0,240.0,677.1,240.0,210.0,0.0,10,3
3,1,0,560.0,122.9,60.0,30.0,0.0,10,3
3,2,0,560.0,677.1,180.0,150.0,0.0,10,3
3,3,1,720.0,400.0,90.0,120.0,0.0,10,3
3,4,1,80.0,400.0,270.0,290.0,1.0,10,3
3,5,1,240.0,122.9,330.0,350.0,1.0,10,3
4,0,0,240.0,677.1,250.0,210.0,0.0,10,4
4,1,0,560.0,122.9,70.0,30.0,0.0,10,4
4,2,0,560.0,677.1,190.0,150.0,0.0,10,4
4,3,1,720.0,400.0,90.0,120.0,1.0,10,4
4,4,1,79.0,400.0,270.0,300.0,1.0,10,4
4,5,1,239.5,122.0,330.0,0.0,1.0,10,4
5,0,0,240.0,677.1,260.0,210.0,0.0,10,5
5,1,0,560.0,122.9,80.0,30.0,0.0,10,5
5,2,0,560.0,677.1,200.0,150.0,0.0,10,5
5,3,1,721.0,400.0,90.0,130.0,1.0,10,5
5,4,1,78.1,400.0,270.0,300.0,0.0,10,5
5,5,1,239.0,121.2,330.0,10.0,1.0,10,5
6,0,0,240.0,677.1,270.0,210.0,0.0,10,6
6,1,0,560.0,122.9,90.0,30.0,0.0,10,6
6,2,0,560.0,677.1,210.0,150.0,0.0,10,6
6,3,1,721.9,400.0,90.0,130.0,0.0,10,6
6,4,1,78.1,400.0,270.0,300.0,-1.0,10,6
6,5,1,238.6,120.4,330.0,10.0,1.9,10,6
7,0,0,240.0,677.1,280.0,210.0,0.0,10,7
7,1,0,560.0,122.9,100.0,30.0,0.0,10,7
7,2,0,560.0,677.1,220.0,150.0,0.0,10,7
7,3,1,721.9,400.0,90.0,130.0,-1.0,10,7
7,4,1,79.0,400.0,270.0,300.0,-2.0,10,7
7,5,1,237.6,118.7,330.0,20.0,1.9,10,7
8,0,0,240.0,677.1,290.0,210.0,0.0,10,8
8,1,0,560.0,122.9,110.0,30.0,0.0,10,8
8,2,0,560.0,677.1,230.0,150.0,0.0,10,8
8,3,1,721.0,400.0,90.0,130.0,-2.0,10,8
8,4,1,81.0,400.0,270.0,300.0,-2.9,10,8
8,5,1,236.7,117.1,330.0,30.0,1.9,10,8
9,0,0,240.0,677.1,300.0,210.0,0.0,10,9
9,1,0,560.0,122.9,120.0,30.0,0.0,10,9
9,2,0,560.0,677.1,240.0,150.0,0.0,10,9
9,3,1,719.0,400.0,90.0,130.0,-2.9,10,9
9,4,1,83.9,400.0,270.0,300.0,-3.9,10,9
9,5,1,235.8,115.5,330.0,30.0,2.8,10,9
